"Submission Date","Nombre del Instructor:","Agencia de Procedencia:","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Excelente (4)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Bueno (3)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Regular (2)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Deficiente (1)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Excelente (4)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Bueno (3)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Regular (2)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Deficiente (1)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Excelente (4)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Bueno (3)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Regular (2)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Deficiente (1)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Excelente (4)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Bueno (3)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Regular (2)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Deficiente (1)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Excelente (4)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Bueno (3)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Regular (2)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Deficiente (1)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Excelente (4)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Bueno (3)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Regular (2)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Deficiente (1)","¿Considera que lo aprendido en esta actividad le ayudará en el desempeño de sus funciones y responsabilidades diarias en forma efectiva?","Explique:","¿Tomaría otros cursos con este instructor?","¿Qué otros cursos y/o adiestramientos le gustaría tomar a través de la Alianza con la Universidad dePuerto Rico?"
"2020-06-03 11:48:24","Dr. Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Se expandieron los temas.","Sí","Cursos de GIS"
"2020-06-03 11:32:01","Dr. Edwin Morales","Universidad de Puerto Rico, Recinto de Río Piedras","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Es una nueva modalidad que nos lleva a un proceso de adaptacion.","Sí","Manejos en tecnologia y cualquer tema que nos pueda ayudar en esta nueva modalidad."
"2020-06-03 11:16:06","Dr. Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 09:38:25","Dr. Edwin H. Morales Cortés","Departamento de la Vivienda - CDBG-DR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Abrió los ojos sobre aspectos y detalles que pudieran pasar desapercibidos por desconocimiento.","Sí",""
"2020-06-03 09:33:26","Edwin Morales","Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Ya que nos ayuda a manejar y acostumbrarse al trabajo a distancia ","Muy bueno","Todo lo que sea necesario para el desempeño de nuestras funciones"
"2020-06-03 09:18:59","Edwin H. Morales Cortes","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Esto me permitió obtener el conocimiento sobre La Ley # 36 Trabajo a Distancia. Además de las ventajas y desventajas sobre el mismo.","Sí",""
"2020-06-03 08:51:03","Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Excel"
"2020-06-02 16:23:37","Dr. Edwin H. Morales Cortes","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Para la realizar el tele trabajo","Sí","La mochila emocional"
"2020-06-02 10:15:33","Dr. Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","El instructor me dio herramienta paa el manejo de la gestion de la Organizacion y la inplicaciones de los mismos.","Sí","Manejo del tiempo y conflicto familiares en trabajo remoto."
"2020-06-02 09:55:34","Edwin Morales Cruz ","Departamento de la Vivienda ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Porque todo sera Paso por Paso y Este es el primero para continuar en nuestro aprendizaje y adaptacion.      Estos buenos recursos son los que nos ayudarán con este proceso.","Sí","Sobre los o el proceso laboral. "
"2020-06-02 09:10:40","Dr. Edwin Morales Cortés","UPR Río Piedras","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
